Date,Trend
2017-12-30,42
2017-12-31,25
2018-01-01,43
2018-01-02,55
2018-01-03,100
2018-01-04,94
2018-01-05,100
2018-01-06,68
2018-01-07,64
2018-01-08,59
2018-01-09,55
2018-01-10,56
2018-01-11,54
2018-01-12,63
2018-01-13,68
2018-01-14,59
2018-01-15,52
2018-01-16,50
2018-01-17,48
2018-01-18,50
2018-01-19,42
2018-01-20,35
2018-01-21,31
2018-01-22,35
2018-01-23,35
2018-01-24,50
2018-01-25,60
2018-01-26,50
2018-01-27,38
2018-01-28,39
2018-01-29,36
2018-01-30,36
2018-01-31,32
2018-02-01,34
2018-02-02,32
2018-02-03,28
2018-02-04,25
2018-02-05,73
2018-02-06,88
2018-02-07,81
2018-02-08,78
2018-02-09,77
2018-02-10,72
2018-02-11,63
2018-02-12,79
2018-02-13,100
2018-02-14,82
2018-02-15,79
2018-02-16,67
2018-02-17,73
2018-02-18,72
2018-02-19,68
2018-02-20,71
2018-02-21,70
2018-02-22,64
2018-02-23,61
2018-02-24,52
2018-02-25,59
2018-02-26,71
2018-02-27,66
2018-02-28,67
2018-03-01,65
2018-03-02,59
2018-03-03,63
2018-03-04,73
2018-03-05,100
2018-03-06,86
2018-03-07,85
2018-03-08,86
2018-03-09,84
2018-03-10,71
2018-03-11,69
2018-03-12,77
2018-03-13,78
2018-03-14,74
2018-03-15,79
2018-03-16,74
2018-03-17,69
2018-03-18,74
2018-03-19,80
2018-03-20,92
2018-03-21,81
2018-03-22,80
2018-03-23,72
2018-03-24,76
2018-03-25,90
2018-03-26,82
2018-03-27,82
2018-03-28,74
2018-03-29,79
2018-03-30,74
2018-03-31,89
2018-04-01,76
2018-04-02,89
2018-04-03,83
2018-04-04,75
2018-04-05,80
2018-04-06,69
2018-04-07,67
2018-04-08,57
2018-04-09,71
2018-04-10,69
2018-04-11,63
2018-04-12,74
2018-04-13,72
2018-04-14,61
2018-04-15,73
2018-04-16,76
2018-04-17,89
2018-04-18,100
2018-04-19,97
2018-04-20,90
2018-04-21,72
2018-04-22,59
2018-04-23,83
2018-04-24,84
2018-04-25,77
2018-04-26,77
2018-04-27,89
2018-04-28,67
2018-04-29,77
2018-04-30,81
2018-05-01,84
2018-05-02,75
2018-05-03,77
2018-05-04,75
2018-05-05,60
2018-05-06,56
2018-05-07,64
2018-05-08,72
2018-05-09,72
